PERMNO,date,TICKER,RET,RETX
84398,02/01/2019,SPY,0.001040,0.001040
84398,03/01/2019,SPY,-0.023863,-0.023863
84398,04/01/2019,SPY,0.033496,0.033496
84398,07/01/2019,SPY,0.007885,0.007885
84398,08/01/2019,SPY,0.009395,0.009395
84398,09/01/2019,SPY,0.004673,0.004673
84398,10/01/2019,SPY,0.003528,0.003528
84398,11/01/2019,SPY,0.000386,0.000386
84398,14/01/2019,SPY,-0.006101,-0.006101
84398,15/01/2019,SPY,0.011461,0.011461
84398,16/01/2019,SPY,0.002420,0.002420
84398,17/01/2019,SPY,0.007587,0.007587
84398,18/01/2019,SPY,0.013310,0.013310
84398,22/01/2019,SPY,-0.013510,-0.013510
84398,23/01/2019,SPY,0.002092,0.002092
84398,24/01/2019,SPY,0.000531,0.000531
84398,25/01/2019,SPY,0.008461,0.008461
84398,28/01/2019,SPY,-0.007600,-0.007600
84398,29/01/2019,SPY,-0.001327,-0.001327
84398,30/01/2019,SPY,0.015831,0.015831
84398,31/01/2019,SPY,0.008782,0.008782
84398,01/02/2019,SPY,0.000482,0.000482
84398,04/02/2019,SPY,0.007035,0.007035
84398,05/02/2019,SPY,0.004192,0.004192
84398,06/02/2019,SPY,-0.001318,-0.001318
84398,07/02/2019,SPY,-0.009533,-0.009533
84398,08/02/2019,SPY,0.001222,0.001222
84398,11/02/2019,SPY,0.000555,0.000555
84398,12/02/2019,SPY,0.012859,0.012859
84398,13/02/2019,SPY,0.003247,0.003247
84398,14/02/2019,SPY,-0.002218,-0.002218
84398,15/02/2019,SPY,0.010897,0.010897
84398,19/02/2019,SPY,0.001731,0.001731
84398,20/02/2019,SPY,0.002015,0.002015
84398,21/02/2019,SPY,-0.003556,-0.003556
84398,22/02/2019,SPY,0.006200,0.006200
84398,25/02/2019,SPY,0.001361,0.001361
84398,26/02/2019,SPY,-0.000715,-0.000715
84398,27/02/2019,SPY,-0.000430,-0.000430
84398,28/02/2019,SPY,-0.001863,-0.001863
84398,01/03/2019,SPY,0.006244,0.006244
84398,04/03/2019,SPY,-0.003637,-0.003637
84398,05/03/2019,SPY,-0.001360,-0.001360
84398,06/03/2019,SPY,-0.006057,-0.006057
84398,07/03/2019,SPY,-0.008365,-0.008365
84398,08/03/2019,SPY,-0.002000,-0.002000
84398,11/03/2019,SPY,0.014501,0.014501
84398,12/03/2019,SPY,0.003771,0.003771
84398,13/03/2019,SPY,0.006619,0.006619
84398,14/03/2019,SPY,-0.000640,-0.000640
84398,15/03/2019,SPY,0.004919,0.000533
84398,18/03/2019,SPY,0.003626,0.003626
84398,19/03/2019,SPY,0.000248,0.000248
84398,20/03/2019,SPY,-0.003010,-0.003010
84398,21/03/2019,SPY,0.011295,0.011295
84398,22/03/2019,SPY,-0.019246,-0.019246
84398,25/03/2019,SPY,-0.000752,-0.000752
84398,26/03/2019,SPY,0.007454,0.007454
84398,27/03/2019,SPY,-0.005229,-0.005229
84398,28/03/2019,SPY,0.003790,0.003790
84398,29/03/2019,SPY,0.006306,0.006306
84398,01/04/2019,SPY,0.011859,0.011859
84398,02/04/2019,SPY,0.000490,0.000490
84398,03/04/2019,SPY,0.001574,0.001574
84398,04/04/2019,SPY,0.002653,0.002653
84398,05/04/2019,SPY,0.004840,0.004840
84398,08/04/2019,SPY,0.000762,0.000762
84398,09/04/2019,SPY,-0.005125,-0.005125
84398,10/04/2019,SPY,0.003411,0.003411
84398,11/04/2019,SPY,-0.000278,-0.000278
84398,12/04/2019,SPY,0.006766,0.006766
84398,15/04/2019,SPY,-0.000655,-0.000655
84398,16/04/2019,SPY,0.000655,0.000655
84398,17/04/2019,SPY,-0.002447,-0.002447
84398,18/04/2019,SPY,0.001969,0.001969
84398,22/04/2019,SPY,0.000862,0.000862
84398,23/04/2019,SPY,0.008992,0.008992
84398,24/04/2019,SPY,-0.002219,-0.002219
84398,25/04/2019,SPY,-0.000616,-0.000616
84398,26/04/2019,SPY,0.004657,0.004657
84398,29/04/2019,SPY,0.001568,0.001568
84398,30/04/2019,SPY,0.000510,0.000510
84398,01/05/2019,SPY,-0.007516,-0.007516
84398,02/05/2019,SPY,-0.002159,-0.002159
84398,03/05/2019,SPY,0.009788,0.009788
84398,06/05/2019,SPY,-0.004115,-0.004115
84398,07/05/2019,SPY,-0.016700,-0.016700
84398,08/05/2019,SPY,-0.001389,-0.001389
84398,09/05/2019,SPY,-0.003026,-0.003026
84398,10/05/2019,SPY,0.005023,0.005023
84398,13/05/2019,SPY,-0.025130,-0.025130
84398,14/05/2019,SPY,0.009044,0.009044
84398,15/05/2019,SPY,0.005857,0.005857
84398,16/05/2019,SPY,0.009261,0.009261
84398,17/05/2019,SPY,-0.006465,-0.006465
84398,20/05/2019,SPY,-0.006612,-0.006612
84398,21/05/2019,SPY,0.009016,0.009016
84398,22/05/2019,SPY,-0.003071,-0.003071
84398,23/05/2019,SPY,-0.012219,-0.012219
84398,24/05/2019,SPY,0.002268,0.002268
84398,28/05/2019,SPY,-0.009301,-0.009301
84398,29/05/2019,SPY,-0.006711,-0.006711
84398,30/05/2019,SPY,0.002731,0.002731
84398,31/05/2019,SPY,-0.013475,-0.013475
84398,03/06/2019,SPY,-0.002543,-0.002543
84398,04/06/2019,SPY,0.021707,0.021707
84398,05/06/2019,SPY,0.008662,0.008662
84398,06/06/2019,SPY,0.006503,0.006503
84398,07/06/2019,SPY,0.010007,0.010007
84398,10/06/2019,SPY,0.004589,0.004589
84398,11/06/2019,SPY,-0.000242,-0.000242
84398,12/06/2019,SPY,-0.001765,-0.001765
84398,13/06/2019,SPY,0.004126,0.004126
84398,14/06/2019,SPY,-0.001105,-0.001105
84398,17/06/2019,SPY,0.000380,0.000380
84398,18/06/2019,SPY,0.010471,0.010471
84398,19/06/2019,SPY,0.002257,0.002257
84398,20/06/2019,SPY,0.009554,0.009554
84398,21/06/2019,SPY,-0.001448,-0.006287
84398,24/06/2019,SPY,-0.001224,-0.001224
84398,25/06/2019,SPY,-0.009808,-0.009808
84398,26/06/2019,SPY,-0.000997,-0.000997
84398,27/06/2019,SPY,0.003546,0.003546
84398,28/06/2019,SPY,0.005146,0.005146
84398,01/07/2019,SPY,0.009079,0.009079
84398,02/07/2019,SPY,0.002604,0.002604
84398,03/07/2019,SPY,0.007995,0.007995
84398,05/07/2019,SPY,-0.001138,-0.001138
