ticker,date,real,predicted,mse,qlike
AAPL,2002-02-01,0.364361,0.39048489928245544,0.0006824581137198766,0.009161741686468217
AAPL,2002-02-04,0.324986,0.38820186257362366,0.003996245280927273,0.05631897363384297
AAPL,2002-02-05,0.397775,0.3810407817363739,0.0002800340608946769,0.0038027568004328494
AAPL,2002-02-06,0.633777,0.3852439820766449,0.061768660998090766,0.7108169574406351
AAPL,2002-02-07,0.50474,0.41567763686180115,0.007932104527760395,0.0861563048049192
AAPL,2002-02-08,0.444568,0.431042343378067,0.00018294338705444007,0.0019491520934016293
AAPL,2002-02-11,0.538374,0.4341440200805664,0.010863888714005534,0.10744798477133122
AAPL,2002-02-12,0.322159,0.44676122069358826,0.01552571340177368,0.17394165851508658
AAPL,2002-02-13,0.232434,0.4254193902015686,0.03724336083125169,0.5074523703613407
AAPL,2002-02-14,0.419838,0.3908361494541168,0.0008411073350857438,0.010754568820759092
AAPL,2002-02-15,0.458429,0.3933144509792328,0.004239904494177893,0.05212274374129988
AAPL,2002-02-19,0.486923,0.40338292717933655,0.006978943766881751,0.08064783487272442
AAPL,2002-02-20,0.455961,0.4165957570075989,0.0015496223558507862,0.01733232092928816
AAPL,2002-02-21,0.62536,0.42392006516456604,0.040578047346503894,0.3986020118938163
AAPL,2002-02-22,0.66309,0.4480443596839905,0.04624462741892252,0.4062596284347375
AAPL,2002-02-25,0.613903,0.47128981351852417,0.020338520958400195,0.16804424353762926
AAPL,2002-02-26,0.538268,0.4841758608818054,0.002925959514382113,0.02410463774563998
AAPL,2002-02-27,0.750912,0.48527806997299194,0.07056138478159342,0.5212674959953452
AAPL,2002-02-28,0.580614,0.5046089291572571,0.005776770793810364,0.04332550448409611
AAPL,2002-03-01,0.648087,0.5045666098594666,0.02059810238609092,0.1491433971700471
AAPL,2002-03-04,0.512668,0.5085591077804565,1.688299527182486e-05,0.00013020644462180542
AAPL,2002-03-05,0.620038,0.502487063407898,0.013818222693680392,0.10218182446003388
AAPL,2002-03-06,0.601096,0.5044430494308472,0.009341792853723094,0.06931899879045034
AAPL,2002-03-07,0.583358,0.5055274963378906,0.006057587300297628,0.04522409124946414
AAPL,2002-03-08,0.448741,0.5051774978637695,0.003185078291127263,0.025976082478004647
AAPL,2002-03-11,0.476449,0.4936331808567047,0.0002952960717159363,0.0024525803192514406
AAPL,2002-03-12,0.421815,0.48607736825942993,0.004129651974310588,0.03666829355212897
AAPL,2002-03-13,0.340517,0.4753842353820801,0.01818917117960539,0.18040018213902487
AAPL,2002-03-14,0.360138,0.4579905867576599,0.009575128735165358,0.0990590506972886
AAPL,2002-03-15,0.354432,0.44680342078208923,0.008532479377301783,0.09246840910045706
AAPL,2002-03-18,0.306771,0.43820756673812866,0.017275571075906545,0.20326442889810958
AAPL,2002-03-19,0.34905,0.42671871185302734,0.006032428800908586,0.07092108259208962
AAPL,2002-03-20,0.264164,0.42190176248550415,0.024881201713933317,0.328439516759218
AAPL,2002-03-21,0.473797,0.40993791818618774,0.0040779823301031705,0.046275042631945595
AAPL,2002-03-22,0.353165,0.41803234815597534,0.004207772856788517,0.0509794962178276
AAPL,2002-03-25,0.405819,0.41748180985450745,0.00013602113370239635,0.0015756965530280276
AAPL,2002-03-26,0.391914,0.42112070322036743,0.0008530315130026222,0.009854801556756998
AAPL,2002-03-27,0.270748,0.42330870032310486,0.02327476728307621,0.3029138242845506
AAPL,2002-03-28,0.286935,0.4125124514102936,0.015769696302704646,0.20985151307060335
AAPL,2002-04-01,0.473595,0.361751526594162,0.012508962543482393,0.17514166469661552
AAPL,2002-04-02,0.341605,0.3790198266506195,0.0013998692532959083,0.02018203663893603
AAPL,2002-04-03,0.427656,0.3753848075866699,0.0027322775563113737,0.03714866918047566
AAPL,2002-04-04,0.58549,0.3852035403251648,0.04011466592907937,0.47289258125144107
AAPL,2002-04-05,0.487892,0.4130488336086273,0.005601499555486696,0.06216962077286725
AAPL,2002-04-08,0.488632,0.4244714677333832,0.00411657390073558,0.0436256595184763
AAPL,2002-04-09,0.407981,0.4320001006126404,0.0005769171942401423,0.006302251904770628
AAPL,2002-04-10,0.44691,0.4239100515842438,0.0005289976271274461,0.005785245763140434
AAPL,2002-04-11,0.283733,0.4239816665649414,0.019669688473244108,0.2511558666598699
AAPL,2002-04-12,0.315238,0.39420947432518005,0.006236493757092569,0.08658321595471197
AAPL,2002-04-15,0.193137,0.38100123405456543,0.03529297043690854,0.6157731639798196
AAPL,2002-04-16,0.37822,0.3512776494026184,0.0007258902557122283,0.01148073096569635
AAPL,2002-04-17,0.379482,0.3589661717414856,0.0004208992091328576,0.006413471540924531
AAPL,2002-04-18,0.397234,0.36528629064559937,0.0010206561329932564,0.014879637138447643
AAPL,2002-04-19,0.253706,0.3732370436191559,0.01428767038868455,0.23412842759041275
AAPL,2002-04-22,0.276707,0.3566342890262604,0.006388371531087365,0.10950002647920698
AAPL,2002-04-23,0.381821,0.349062979221344,0.00107308792533486,0.01709907141112943
AAPL,2002-04-24,0.334123,0.3572135865688324,0.000533175188092743,0.008546148620013128
