ticker,date,real,predicted,mse,qlike,lookback_period
AAPL,2002-03-27,0.270748,0.3948087692260742,0.015391074460965246,0.22470649963139766,9
AAPL,2002-03-28,0.286935,0.3764020502567291,0.008004353081640096,0.12392063688355548,9
AAPL,2002-04-01,0.473595,0.3672429919242859,0.011310749621736758,0.15439959959141158,9
AAPL,2002-04-02,0.341605,0.38776716589927673,0.0021309455605123483,0.029579732744043463,9
AAPL,2002-04-03,0.427656,0.38411298394203186,0.0018959942474244696,0.024805513710825178,9
AAPL,2002-04-04,0.58549,0.3965763747692108,0.03568835779783905,0.40048168011914886,9
AAPL,2002-04-05,0.487892,0.4259198307991028,0.0038405497554646327,0.0404888711992768,9
AAPL,2002-04-08,0.488632,0.43898406624794006,0.0024649173258489334,0.024692640210923544,9
AAPL,2002-04-09,0.407981,0.4477969706058502,0.00158531151528593,0.01631412702100632,9
AAPL,2002-04-10,0.44691,0.4402700364589691,4.408911582621905e-05,0.00045264618298568315,9
AAPL,2002-04-11,0.283733,0.4427291452884674,0.025279774216591434,0.3005667873926139,9
AAPL,2002-04-12,0.315238,0.41162943840026855,0.009291309396872763,0.12008617423156931,9
AAPL,2002-04-15,0.193137,0.39505481719970703,0.0407708049026943,0.6702595945316085,9
AAPL,2002-04-16,0.37822,0.3624606728553772,0.0002483563920512451,0.003727730743364299,9
AAPL,2002-04-17,0.379482,0.3691364824771881,0.00010702973281480757,0.0015565690877206162,9
AAPL,2002-04-18,0.397234,0.3731328248977661,0.0005808666413085374,0.008172724196661818,9
AAPL,2002-04-19,0.253706,0.37958234548568726,0.015844854352832102,0.25252535471397564,9
AAPL,2002-04-22,0.276707,0.36123332381248474,0.007144699417253028,0.11989542651127794,9
AAPL,2002-04-23,0.381821,0.354165256023407,0.0007648401748988621,0.01189526647437189,9
AAPL,2002-04-24,0.334123,0.3627881407737732,0.0008216902955802343,0.012835916652248702,9
AAPL,2002-04-25,0.550145,0.3646998405456543,0.0343899071650477,0.45331885236701197,9
AAPL,2002-04-26,0.42162,0.39497485756874084,0.0007099636151820868,0.008906953872217516,9
AAPL,2002-04-29,0.478621,0.42017966508865356,0.0034153896262201617,0.03706482349456075,6
AAPL,2002-04-30,0.383497,0.43253612518310547,0.0024048357987242913,0.026770591037395874,6
AAPL,2002-05-01,0.466918,0.4437471926212311,0.0005368863145840123,0.005361725511165982,6
AAPL,2002-05-02,0.461202,0.44903507828712463,0.00014803398396723806,0.001455356148639897,6
AAPL,2002-05-03,0.356893,0.45805636048316956,0.010234025504247709,0.10618166899355863,6
AAPL,2002-05-06,0.359081,0.4475829005241394,0.007832586396384669,0.0842599387661882,6
AAPL,2002-05-07,0.481483,0.44374972581863403,0.001423799980446139,0.01407573764880965,6
AAPL,2002-05-08,0.5261,0.44006043672561646,0.007402806448446652,0.07210387716617062,6
AAPL,2002-05-09,0.398565,0.44597405195236206,0.0022476182070217646,0.023471981809252362,6
AAPL,2002-05-10,0.500925,0.44422346353530884,0.0032150642374566963,0.03131898872685568,6
AAPL,2002-05-13,0.525952,0.44624805450439453,0.006352718927566443,0.0604493552886356,6
AAPL,2002-05-14,0.389551,0.4575350880622864,0.004621836229660711,0.046620464730598554,6
AAPL,2002-05-15,0.629601,0.4641653597354889,0.02736895106972872,0.23017165548389684,6
AAPL,2002-05-16,0.439126,0.46684330701828003,0.0007682491083455945,0.0071960580251304584,6
AAPL,2002-05-17,0.530769,0.4644779562950134,0.004394502475496446,0.03898709155056723,6
AAPL,2002-05-20,0.203167,0.47227805852890015,0.07242076182254513,0.8721384861924057,6
AAPL,2002-05-21,0.35721,0.45728063583374023,0.01001413215616905,0.10416007759555357,6
AAPL,2002-05-22,0.484599,0.4423460364341736,0.0017853129300950546,0.017705855582784702,6
AAPL,2002-05-23,0.553061,0.4406605660915375,0.012633857542810658,0.12082038724212207,6
AAPL,2002-05-24,0.395718,0.4323824942111969,0.0013442851357628898,0.014815091589810203,6
AAPL,2002-05-28,0.397543,0.40548357367515564,6.305271029057506e-05,0.0007720669483437526,6
